日期,中獎號碼,特別號
2019/04/26,"08, 24, 29, 37, 44, 48",06
2019/04/23,"08, 14, 16, 18, 30, 35",36
2019/04/19,"04, 11, 24, 29, 32, 45",49
2019/04/16,"01, 14, 23, 36, 39, 41",04
2019/04/12,"12, 26, 32, 34, 45, 46",14
2019/04/09,"10, 36, 37, 44, 45, 46",48
2019/04/05,"11, 28, 29, 38, 43, 49",22
2019/04/02,"05, 28, 38, 40, 41, 47",25
2019/03/29,"01, 03, 12, 16, 29, 49",04
2019/03/26,"06, 13, 14, 19, 24, 38",26
2019/03/22,"01, 12, 16, 37, 41, 47",36
2019/03/19,"07, 16, 17, 36, 47, 48",49
2019/03/15,"05, 10, 12, 20, 28, 36",15
2019/03/12,"05, 07, 22, 37, 40, 45",12
2019/03/08,"03, 11, 15, 25, 31, 48",36
2019/03/05,"12, 13, 16, 21, 42, 43",39
2019/03/01,"01, 08, 14, 27, 40, 45",34
2019/02/26,"06, 17, 22, 34, 38, 42",20
2019/02/22,"06, 20, 22, 43, 45, 48",11
2019/02/19,"01, 03, 04, 24, 32, 43",37
2019/02/15,"01, 03, 40, 44, 46, 48",02
2019/02/12,"11, 16, 19, 29, 30, 45",01
2019/02/10,"05, 08, 14, 19, 22, 47",24
2019/02/09,"06, 08, 18, 19, 20, 30",22
2019/02/08,"08, 13, 14, 32, 36, 42",05
2019/02/07,"07, 21, 29, 33, 40, 41",08
2019/02/06,"17, 23, 28, 29, 32, 39",12
2019/02/05,"13, 18, 30, 34, 45, 49",33
2019/02/04,"06, 08, 24, 32, 34, 36",49
2019/02/03,"12, 24, 28, 36, 37, 40",06
2019/02/02,"02, 07, 22, 35, 46, 49",41
2019/02/01,"10, 17, 20, 21, 32, 41",34
2019/01/29,"14, 20, 24, 30, 44, 48",31
2019/01/25,"03, 10, 14, 15, 20, 45",02
2019/01/22,"02, 20, 36, 37, 42, 46",29
2019/01/18,"04, 05, 10, 30, 39, 45",14
2019/01/15,"12, 20, 30, 38, 40, 41",10
2019/01/11,"13, 20, 22, 31, 34, 42",09
